Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-18 00:00:00+05:30,4509.069555402626,4536.329390212327,4455.546585508115,4474.33447265625,101940,0.0,0.0
2023-09-20 00:00:00+05:30,4434.3166363826,4507.075709085663,4409.349505417458,4500.44775390625,107901,0.0,0.0
2023-09-21 00:00:00+05:30,4495.115479205181,4495.115479205181,4445.230855750197,4478.96875,84700,0.0,0.0
2023-09-22 00:00:00+05:30,4507.075747804409,4507.075747804409,4445.280370457245,4454.599609375,102180,0.0,0.0
2023-09-25 00:00:00+05:30,4440.297021638374,4509.866463807812,4428.336625620493,4436.35986328125,108295,0.0,0.0
2023-09-26 00:00:00+05:30,4460.230885075491,4463.171343678801,4400.42890672811,4426.29345703125,90454,0.0,0.0
2023-09-27 00:00:00+05:30,4434.3168703950205,4443.9349249602155,4416.176741575352,4430.1806640625,71124,0.0,0.0
2023-09-28 00:00:00+05:30,4455.147600416517,4455.147600416517,4314.712719202166,4343.26806640625,422876,0.0,0.0
2023-09-29 00:00:00+05:30,3986.798633662862,3986.8485173127583,3714.3506847009753,3754.2685546875,3246796,0.0,0.0
2023-10-03 00:00:00+05:30,3787.4587635065454,3850.2508430067855,3769.5181693636196,3807.74169921875,828923,0.0,0.0
2023-10-04 00:00:00+05:30,3807.392728813349,3831.263637176499,3756.561045784689,3812.525634765625,415070,0.0,0.0
2023-10-05 00:00:00+05:30,3739.118981193192,3752.0760774894766,3638.003843763396,3683.403564453125,1819526,0.0,0.0
2023-10-06 00:00:00+05:30,3715.1978421162858,3732.640085506503,3683.8516876619833,3706.376953125,441921,0.0,0.0
2023-10-09 00:00:00+05:30,3699.7991003782713,3722.673309395532,3661.874628840478,3707.623046875,295898,0.0,0.0
2023-10-10 00:00:00+05:30,3726.6599228246105,3747.5906150897395,3683.4032561439594,3690.97802734375,194379,0.0,0.0
2023-10-11 00:00:00+05:30,3713.951961938251,3735.5802950422426,3685.7951976511645,3690.0810546875,273902,0.0,0.0
2023-10-12 00:00:00+05:30,3710.214609358599,3715.148224174852,3679.466326477643,3706.825927734375,234432,0.0,0.0
2023-10-13 00:00:00+05:30,3706.2277065397384,3713.653070381495,3668.8514690796765,3679.36669921875,251564,0.0,0.0
2023-10-16 00:00:00+05:30,3687.7886804480167,3699.5497849066905,3667.85468758073,3682.95458984375,153337,0.0,0.0
2023-10-17 00:00:00+05:30,3702.7392504457607,3711.659663768419,3670.794977558923,3684.599365234375,180414,0.0,0.0
2023-10-18 00:00:00+05:30,3692.772428303202,3697.7559268569175,3638.0038278648467,3663.27001953125,211278,0.0,0.0
2023-10-19 00:00:00+05:30,3657.8878560534636,3662.821470843561,3628.983565092823,3636.259521484375,121817,0.0,0.0
2023-10-20 00:00:00+05:30,3628.2858230884513,3685.695577537124,3589.115477760551,3594.49755859375,169108,0.0,0.0
2023-10-23 00:00:00+05:30,3588.118676306565,3612.4380500009165,3503.399207560438,3518.598876953125,377393,0.0,0.0
2023-10-25 00:00:00+05:30,3486.6547741093214,3530.9580262463032,3442.600696892497,3464.8271484375,237988,0.0,0.0
2023-10-26 00:00:00+05:30,3431.636855311055,3443.5972509729,3397.749067602494,3418.48046875,264742,0.0,0.0
2023-10-27 00:00:00+05:30,3423.663517951249,3443.5975122333525,3392.3173606096198,3420.62353515625,264861,0.0,0.0
2023-10-30 00:00:00+05:30,3413.696413157976,3423.6634099847147,3345.472368545927,3412.84912109375,484497,0.0,0.0
2023-10-31 00:00:00+05:30,3442.600607452692,3478.4817950231313,3403.72932091805,3426.902587890625,208068,0.0,0.0
2023-11-01 00:00:00+05:30,3378.812068794229,3510.3764325348893,3363.8615729146086,3468.265869140625,765465,0.0,0.0
2023-11-02 00:00:00+05:30,3493.432414709819,3521.3400060398835,3458.448158244249,3465.57470703125,140765,0.0,0.0
2023-11-03 00:00:00+05:30,3468.514782551105,3563.2012493161496,3468.514782551105,3527.170654296875,169256,0.0,0.0
2023-11-06 00:00:00+05:30,3538.3837569569228,3630.7777719070396,3525.526184627395,3624.050048828125,202226,0.0,0.0
